RPi,Distro,Version,From,To,Offset,Sample rate,Min,Max,Mean,1st quantile,3rd quantile,Average,Duration,Total Energy Consumption,Standard Deviation
RPi3B+,Alpine,3.13.7,0,9598.946,0,10000,2.274,3.941,2.669,2.646,2.671,2.669,9598.946,25615.031,0.055
RPi3B+,Alpine,3.12.11,0,9976.984,0,10000,2.273,3.909,2.667,2.645,2.67,2.667,9976.984,26610.264,0.054
RPi3B+,Alpine,3.11.13,0,9469.613,0,10000,2.274,3.892,2.67,2.649,2.673,2.67,9469.613,25287.82,0.054
RPi3B+,Alpine,3.10.18,0,12189.499,0,10000,2.273,3.963,2.678,2.657,2.68,2.678,12189.499,32639.492,0.053
RPi3B+,Alpine,3.9.23,0,11921.443,0,10000,2.274,4.071,2.676,2.655,2.677,2.676,11921.443,31898.975,0.053
RPi4B,Alpine,3.13.7,0,5450.792,0,10000,1.763,3.402,2.125,2.095,2.14,2.125,5450.792,11581.201,0.064
RPi4B,Alpine,3.12.11,0,5624.611,0,10000,1.763,3.426,2.124,2.093,2.141,2.124,5624.611,11949.118,0.065
RPi4B,Alpine,3.11.13,0,5337.803,0,10000,1.765,3.539,2.129,2.1,2.141,2.129,5337.803,11366.28,0.066
RPi4B,Alpine,3.10.18,0,6738.626,0,10000,1.763,3.524,2.133,2.109,2.141,2.133,6738.626,14374.621,0.058
RPi4B,Alpine,3.9.23,0,6618.27,0,10000,1.768,3.211,2.131,2.109,2.142,2.131,6618.27,14106.096,0.04
