RPi,Distro,Version,From,To,Offset,Sample rate,Min,Max,Mean,1st quantile,3rd quantile,Average,Duration,Total Energy Consumption,Standard Deviation
RPi3B+,FreeBSD,3.13.7,0,9771.687,0,10000,2.678,4.636,3.131,3.068,3.198,3.131,9771.687,30591.093,0.089
RPi3B+,FreeBSD,3.12.11,0,9958.743,0,10000,2.686,4.677,3.132,3.07,3.199,3.132,9958.743,31191.006,0.088
RPi3B+,FreeBSD,3.11.13,0,9215.184,0,10000,2.685,4.691,3.137,3.075,3.204,3.137,9215.184,28907.392,0.089
RPi3B+,FreeBSD,3.10.18,0,12266.593,0,10000,2.686,4.624,3.139,3.078,3.207,3.139,12266.593,38503.521,0.088
RPi3B+,FreeBSD,3.9.23,0,11878.121,0,10000,2.686,4.602,3.14,3.079,3.208,3.14,11878.121,37297.739,0.088
RPi4B,FreeBSD,3.13.7,0,5611.21,0,10000,1.857,3.533,2.17,2.141,2.177,2.17,5611.21,12175.069,0.062
RPi4B,FreeBSD,3.12.11,0,5642.937,0,10000,1.862,3.551,2.177,2.147,2.185,2.177,5642.937,12282.768,0.062
RPi4B,FreeBSD,3.11.13,0,5143.834,0,10000,1.862,4.847,2.184,2.155,2.191,2.184,5143.834,11234.072,0.059
RPi4B,FreeBSD,3.10.18,0,6692.526,0,10000,1.826,4.16,2.183,2.157,2.187,2.183,6692.526,14609.4,0.058
RPi4B,FreeBSD,3.9.23,0,6498.16,0,10000,1.824,3.35,2.18,2.157,2.183,2.18,6498.16,14167.15,0.045
