RPi,Distro,Version,From,To,Offset,Sample rate,Min,Max,Average,Mean,1st quantile,3rd quantile,Duration,Total Energy Consumption,Standard Deviation
RPi3B+,Manjaro,3.13.7,0,9498.188,0,10000,2.377,4.482,2.781,2.753,2.779,2.781,9498.188,26412.087,0.072
RPi3B+,Manjaro,3.12.11,0,9737.827,0,10000,2.375,4.789,2.779,2.752,2.778,2.779,9737.827,27062.361,0.072
RPi3B+,Manjaro,3.11.13,0,9248.391,0,10000,2.375,4.821,2.782,2.755,2.781,2.782,9248.391,25730.755,0.072
RPi3B+,Manjaro,3.10.18,0,12185.933,0,10000,2.377,5.069,2.788,2.763,2.786,2.788,12185.933,33974.328,0.07
RPi3B+,Manjaro,3.9.23,0,11681.148,0,10000,2.38,4.992,2.792,2.765,2.788,2.792,11681.148,32609.01,0.071
RPi4B,Manjaro,3.13.7,0,5219.444,0,10000,1.655,3.617,2.0,1.946,2.0,2.0,5219.444,10439.548,0.131
RPi4B,Manjaro,3.12.11,0,5394.76,0,10000,1.646,3.509,1.999,1.945,1.994,1.999,5394.76,10785.645,0.132
RPi4B,Manjaro,3.11.13,0,4999.547,0,10000,1.645,4.776,2.007,1.952,2.004,2.007,4999.547,10032.184,0.133
RPi4B,Manjaro,3.10.18,0,6374.701,0,10000,1.646,4.703,2.01,1.96,1.998,2.01,6374.701,12810.129,0.132
RPi4B,Manjaro,3.9.23,0,6189.843,0,10000,1.653,3.506,2.015,1.966,2.004,2.015,6189.843,12472.039,0.131
