RPi,Distro,Version,From,To,Offset,Sample rate,Min,Max,Average,Mean,1st quantile,3rd quantile,Duration,Total Energy Consumption,Standard Deviation
RPi4B,Ubuntu,3.13.7,0,5128.608,0,10000,1.692,4.35,2.052,2.001,2.048,2.052,5128.608,10522.823,0.146
RPi4B,Ubuntu,3.12.11,0,5343.065,0,10000,1.701,4.127,2.048,2.0,2.041,2.048,5343.065,10943.585,0.144
RPi4B,Ubuntu,3.11.13,0,4948.137,0,10000,1.701,4.407,2.057,2.007,2.052,2.057,4948.137,10176.896,0.145
RPi4B,Ubuntu,3.10.18,0,6335.021,0,10000,1.701,4.16,2.059,2.015,2.05,2.059,6335.021,13046.908,0.144
RPi4B,Ubuntu,3.9.23,0,6312.9639,0,10000,1.702,4.694,2.057,2.011,2.046,2.057,6312.964,12984.117,0.143
RPi3B+,Ubuntu,3.13.7,0,8472.4736,0,10000,2.375,4.952,2.969,2.755,3.173,2.969,8472.474,25151.157,0.221
RPi3B+,Ubuntu,3.12.11,0,10107.9168,0,10000,2.369,4.512,2.763,2.74,2.764,2.763,10107.917,27925.388,0.059
RPi3B+,Ubuntu,3.11.13,0,9415.3515,0,10000,2.37,4.423,2.765,2.742,2.767,2.765,9415.352,26029.169,0.059
RPi3B+,Ubuntu,3.10.18,0,12332.6848,0,10000,2.37,4.422,2.772,2.751,2.774,2.772,12332.685,34181.143,0.055
RPi3B+,Ubuntu,3.9.23,0,12120.8368,0,10000,2.371,4.736,2.771,2.749,2.771,2.771,12120.837,33581.635,0.057
