RPi,Distro,Version,From,To,Offset,Sample rate,Min,Max,Average,Mean,1st quantile,3rd quantile,Duration,Total Energy Consumption,Standard Deviation
RPi3B+,Alpine,3.10.18,0,12189.499,0,10000,2.273,3.963,2.678,2.657,2.68,2.678,12189.499,32639.492,0.053
RPi3B+,Alpine,3.11.13,0,9469.613,0,10000,2.274,3.892,2.67,2.649,2.673,2.67,9469.613,25287.82,0.054
RPi3B+,Alpine,3.12.11,0,9976.984,0,10000,2.273,3.909,2.667,2.645,2.67,2.667,9976.984,26610.264,0.054
RPi3B+,Alpine,3.13.7,0,9598.946,0,10000,2.274,3.941,2.669,2.646,2.671,2.669,9598.946,25615.031,0.055
RPi3B+,Alpine,3.9.23,0,11921.443,0,10000,2.274,4.071,2.676,2.655,2.677,2.676,11921.443,31898.975,0.053
RPi3B+,FreeBSD,3.10.18,0,12266.593,0,10000,2.686,4.624,3.139,3.078,3.207,3.139,12266.593,38503.521,0.088
RPi3B+,FreeBSD,3.11.13,0,9215.184,0,10000,2.685,4.691,3.137,3.075,3.204,3.137,9215.184,28907.392,0.089
RPi3B+,FreeBSD,3.12.11,0,9958.743,0,10000,2.686,4.677,3.132,3.07,3.199,3.132,9958.743,31191.006,0.088
RPi3B+,FreeBSD,3.13.7,0,9771.687,0,10000,2.678,4.636,3.131,3.068,3.198,3.131,9771.687,30591.093,0.089
RPi3B+,FreeBSD,3.9.23,0,11878.121,0,10000,2.686,4.602,3.14,3.079,3.208,3.14,11878.121,37297.739,0.088
RPi3B+,Manjaro,3.10.18,0,12185.933,0,10000,2.377,5.069,2.788,2.763,2.786,2.788,12185.933,33974.328,0.07
RPi3B+,Manjaro,3.11.13,0,9248.391,0,10000,2.375,4.821,2.782,2.755,2.781,2.782,9248.391,25730.755,0.072
RPi3B+,Manjaro,3.12.11,0,9737.827,0,10000,2.375,4.789,2.779,2.752,2.778,2.779,9737.827,27062.361,0.072
RPi3B+,Manjaro,3.13.7,0,9498.188,0,10000,2.377,4.482,2.781,2.753,2.779,2.781,9498.188,26412.087,0.072
RPi3B+,Manjaro,3.9.23,0,11681.148,0,10000,2.38,4.992,2.792,2.765,2.788,2.792,11681.148,32609.01,0.071
RPi3B+,Ubuntu,3.10.18,0,12332.6848,0,10000,2.37,4.422,2.772,2.751,2.774,2.772,12332.685,34181.143,0.055
RPi3B+,Ubuntu,3.11.13,0,9415.3515,0,10000,2.37,4.423,2.765,2.742,2.767,2.765,9415.352,26029.169,0.059
RPi3B+,Ubuntu,3.12.11,0,10107.9168,0,10000,2.369,4.512,2.763,2.74,2.764,2.763,10107.917,27925.388,0.059
RPi3B+,Ubuntu,3.13.7,0,8472.4736,0,10000,2.375,4.952,2.969,2.755,3.173,2.969,8472.474,25151.157,0.221
RPi3B+,Ubuntu,3.9.23,0,12120.8368,0,10000,2.371,4.736,2.771,2.749,2.771,2.771,12120.837,33581.635,0.057
RPi4B,Alpine,3.10.18,0,6738.626,0,10000,1.763,3.524,2.133,2.109,2.141,2.133,6738.626,14374.621,0.058
RPi4B,Alpine,3.11.13,0,5337.803,0,10000,1.765,3.539,2.129,2.1,2.141,2.129,5337.803,11366.28,0.066
RPi4B,Alpine,3.12.11,0,5624.611,0,10000,1.763,3.426,2.124,2.093,2.141,2.124,5624.611,11949.118,0.065
RPi4B,Alpine,3.13.7,0,5450.792,0,10000,1.763,3.402,2.125,2.095,2.14,2.125,5450.792,11581.201,0.064
RPi4B,Alpine,3.9.23,0,6618.27,0,10000,1.768,3.211,2.131,2.109,2.142,2.131,6618.27,14106.096,0.04
RPi4B,FreeBSD,3.10.18,0,6692.526,0,10000,1.826,4.16,2.183,2.157,2.187,2.183,6692.526,14609.4,0.058
RPi4B,FreeBSD,3.11.13,0,5143.834,0,10000,1.862,4.847,2.184,2.155,2.191,2.184,5143.834,11234.072,0.059
RPi4B,FreeBSD,3.12.11,0,5642.937,0,10000,1.862,3.551,2.177,2.147,2.185,2.177,5642.937,12282.768,0.062
RPi4B,FreeBSD,3.13.7,0,5611.21,0,10000,1.857,3.533,2.17,2.141,2.177,2.17,5611.21,12175.069,0.062
RPi4B,FreeBSD,3.9.23,0,6498.16,0,10000,1.824,3.35,2.18,2.157,2.183,2.18,6498.16,14167.15,0.045
RPi4B,Manjaro,3.10.18,0,6374.701,0,10000,1.646,4.703,2.01,1.96,1.998,2.01,6374.701,12810.129,0.132
RPi4B,Manjaro,3.11.13,0,4999.547,0,10000,1.645,4.776,2.007,1.952,2.004,2.007,4999.547,10032.184,0.133
RPi4B,Manjaro,3.12.11,0,5394.76,0,10000,1.646,3.509,1.999,1.945,1.994,1.999,5394.76,10785.645,0.132
RPi4B,Manjaro,3.13.7,0,5219.444,0,10000,1.655,3.617,2.0,1.946,2.0,2.0,5219.444,10439.548,0.131
RPi4B,Manjaro,3.9.23,0,6189.843,0,10000,1.653,3.506,2.015,1.966,2.004,2.015,6189.843,12472.039,0.131
RPi4B,Ubuntu,3.10.18,0,6335.021,0,50000,1.701,4.16,2.059,2.015,2.05,2.059,6335.021,13046.908,0.144
RPi4B,Ubuntu,3.11.13,0,4948.137,0,50000,1.701,4.407,2.057,2.007,2.052,2.057,4948.137,10176.896,0.145
RPi4B,Ubuntu,3.12.11,0,5343.065,0,50000,1.701,4.127,2.048,2.0,2.041,2.048,5343.065,10943.585,0.144
RPi4B,Ubuntu,3.13.7,0,5128.608,0,50000,1.692,4.35,2.052,2.001,2.048,2.052,5128.608,10522.823,0.146
RPi4B,Ubuntu,3.9.23,0,6312.9639,0,10000,1.702,4.694,2.057,2.011,2.046,2.057,6312.964,12984.117,0.143
